path	translation	split
common_voice_mn_18758744.mp3	Four head looked down at the drawing on a paper.	test
common_voice_mn_18758746.mp3	Guardians laughed and said that’s it.	test
common_voice_mn_18758747.mp3	If the place you live has soil, then you should plant trees.	test
common_voice_mn_18581002.mp3	With the growth of population, urban development and waste disposal become huge concern.	test
common_voice_mn_18581003.mp3	The human being saw a tiger that almost died and felt sorry for him.	test
common_voice_mn_18581004.mp3	Around ten o'clock, kids waked us up.	test
common_voice_mn_18606194.mp3	One of the four prisoners were Glymov.	test
common_voice_mn_18606196.mp3	But they found this disease when she was researching the radium with her husband.	test
common_voice_mn_18606197.mp3	The teacher cut the notebook in half and gave them to us.	test
common_voice_mn_18577224.mp3	Also he suggested about the strict discipline.	test
common_voice_mn_18577225.mp3	I am addressing that importance of acceptance of the international community.	test
common_voice_mn_18577226.mp3	The Balboa country has endowment of sheep.	test
common_voice_mn_18577596.mp3	Melone told us about how American women interested in her work and how they appreciated her.	test
common_voice_mn_18577597.mp3	I have nothing to tell you by betting my future.	test
common_voice_mn_18577598.mp3	The blue sky has now become a giant bell.	test
common_voice_mn_18577518.mp3	In Mongolian Language the word “Perfect” means every kind of wellness and happiness.	test
common_voice_mn_18577520.mp3	People say it can defeat any misfortune like cutting it with diamond.	test
common_voice_mn_18577521.mp3	Because the corn harvest of that Union was said very well thorough the province.	test
common_voice_mn_18967742.mp3	Immigrants from the Muslim countries are outnumbered German citizens in birth numbers.	test
common_voice_mn_18967743.mp3	He drank too much beer too quickly.	test
common_voice_mn_18967744.mp3	The wind had faded as the old man finished talking.	test
common_voice_mn_18934896.mp3	The dead cells of the internal organs lead to cirrhosis of liver, kidney, and lung.	test
common_voice_mn_18934898.mp3	What a big fire.	test
common_voice_mn_18934899.mp3	The director is in a hurry to meet you, like crazy.	test
common_voice_mn_18986549.mp3	Their dad used to play with them, by saying things like he will give them to a male camel.	test
common_voice_mn_18986550.mp3	Let me get you down right now, he said and put down his daughter.	test
common_voice_mn_18986552.mp3	A person who follows Buddha must take care of himself.	test
common_voice_mn_18580167.mp3	Do you think those two fourth grade teachers are having some arguments	test
common_voice_mn_18580168.mp3	I feel asleep deeply instead of coming out of an idea.	test
common_voice_mn_18580170.mp3	[TO REMOVE]	test
common_voice_mn_18577195.mp3	Do you know I am also human?	test
common_voice_mn_18577198.mp3	What could they do?	test
common_voice_mn_18577199.mp3	This was the secret with elephant.	test
common_voice_mn_18595203.mp3	Did you ever go back to your home after you got conscious?	test
common_voice_mn_18580489.mp3	The innovation and development of the latest mobile phone is selfie camera.	test
common_voice_mn_18580490.mp3	Was it possible to buy this many Khuushuur with one tugrik that our father gave us?	test
common_voice_mn_18580491.mp3	In many countries, the plastic bag usage is prohibited.	test
common_voice_mn_18580492.mp3	You better tell the truth.	test
common_voice_mn_18595234.mp3	When rushing after the big movement, there was a chest on the way.	test
common_voice_mn_18595235.mp3	The soldier is so tired of missing his home country.	test
common_voice_mn_18595236.mp3	You are about the break the door, what is making you rush like this.	test
common_voice_mn_18595238.mp3	Teachers started getting the students from their vehicles and it helps to reduce the traffic.	test
common_voice_mn_18588321.mp3	In most cases, the infection starts from people who has visited the country that has infection already.	test
common_voice_mn_18588322.mp3	Temujin had been blaming himself for taking a princess from the Mergeds and hurting Borte’s feelings.	test
common_voice_mn_18588323.mp3	What is the matter If I do this?	test
common_voice_mn_18588324.mp3	So always try to make a positive reaction to people.	test
common_voice_mn_18930073.mp3	I said it directly to do that, it was true that they are hanging us.	test
common_voice_mn_18930075.mp3	The clock was at seven thirty.	test
common_voice_mn_18930076.mp3	In this business summit, many interesting innovations needed for business and mind are discussed.	test
common_voice_mn_18930077.mp3	But, aren’t you bringing bride too early?	test
common_voice_mn_18577314.mp3	He had promised them money if freed.	test
common_voice_mn_18577315.mp3	Did you just say that Baigal tried to commit suicide?	test
common_voice_mn_18577316.mp3	By being clever, we will be able to control ourselves and stop bad habits.	test
common_voice_mn_18577317.mp3	Think the game is over If they did it intentionally.	test
common_voice_mn_18578651.mp3	But soldiers already killed that man.	test
common_voice_mn_18578652.mp3	Besides that, in Mongolian empires there was few Mongolian people lived from other ethnic groups.	test
common_voice_mn_18578653.mp3	A road to second section has no zigzag and doesn’t cut in along the way.	test
common_voice_mn_18578654.mp3	In other words, you can move inside your range.	test
common_voice_mn_18930129.mp3	They all completed bowing like this.	test
common_voice_mn_18930130.mp3	We are chatting about nonsense.	test
common_voice_mn_18930131.mp3	You always wanted to suck out all her energy and insisted often to sleep with her.	test
common_voice_mn_18930132.mp3	In fact, they left out in just a few days and have been destroying people and livestock of the neighborhood.	test
common_voice_mn_18580703.mp3	Meeting people from different countries, make friends with them, exchange from our collections, and gift them.	test
common_voice_mn_18580706.mp3	Then I started waiting for next spring impatiently.	test
common_voice_mn_18580707.mp3	It becomes great only when good things happen.	test
common_voice_mn_18580708.mp3	I can live.	test
common_voice_mn_18577174.mp3	Doctors recommend herbal tea for lungs.	test
common_voice_mn_18577177.mp3	My little sibling starts thinking about things that worry him.	test
common_voice_mn_18577178.mp3	You always wanted to suck out all her energy and insisted often to sleep with her.	test_covost
common_voice_mn_18577179.mp3	The girl was also disappointed as she guessed his thoughts and has understood that he was disappointed.	test
common_voice_mn_18710160.mp3	There is nothing to get sad.	test
common_voice_mn_18710162.mp3	If you have any method, go with the soldiers	test
common_voice_mn_18710165.mp3	This is not the first time when song was confused for folk song, even though it’s copyright owners are alive.	test
common_voice_mn_18710167.mp3	Apparently, you don’t become full.	test
common_voice_mn_18583476.mp3	Marie was surprised when Pierre Currie was used to work in her laboratory.	test
common_voice_mn_18583477.mp3	Also, tell me about that person.	test
common_voice_mn_18583478.mp3	It doesn’t matter who said it.	test
common_voice_mn_18583480.mp3	When Gombo found his mistake after thinking,” “he said with his eyes shining” “Oh that is right.	test
common_voice_mn_18934492.mp3	I hope you will take care of me.	test
common_voice_mn_18934493.mp3	However you have created this impoverishment.	test
common_voice_mn_18934495.mp3	I dedicated my whole heart for television and had ultimate goal to become a news anchor, so I didn’t give up.	test
common_voice_mn_18934496.mp3	Then bring me nice fitness suit.	test
common_voice_mn_18581684.mp3	they are now know nothing other than drinking.	test
common_voice_mn_18581686.mp3	People who love free stuffs may give their children cheap medicines.	test
common_voice_mn_18581687.mp3	Many people gathered in Damb's home and made a lot of shouting.	test
common_voice_mn_18581688.mp3	You should make a better clothing for your son, just wanted to tell you.	test
common_voice_mn_18585280.mp3	this means making a change about politics and money" said.	test
common_voice_mn_18585282.mp3	He went somewhere else after sending me to the hospital.	test
common_voice_mn_18585283.mp3	After she drop there, the girl should reach the village by bicycle.	test
common_voice_mn_18585284.mp3	Such a silly, can’t even figure out something like this, they grumbled.	test
common_voice_mn_18577569.mp3	Whenever they talk, they always talk about the most exciting things.	test
common_voice_mn_18577570.mp3	Acquiring knowledge in Mongolia is as bright as the sunshine.	test
common_voice_mn_18577571.mp3	President Obama has met with the Cuban democrats to show the advantages of protecting human rights.	test
common_voice_mn_18577572.mp3	The world is so big and great.	test
common_voice_mn_18578301.mp3	Since a week later she took her hair off without any control.	test
common_voice_mn_18578302.mp3	You need to get involved in immunization voluntarily to prevent from possible risks.	test
common_voice_mn_18578303.mp3	Have you ever exhausted your self?	test
common_voice_mn_18578304.mp3	Why are you squinting at me?	test
common_voice_mn_18584019.mp3	Does not it show the quality of the person and horse of that time.	test
common_voice_mn_18584020.mp3	They have a democracy that shares money.	test
common_voice_mn_18584021.mp3	You should consider about your daughter’s future and others if you gonna have one.	test
common_voice_mn_18584022.mp3	Gandalf said I was on the brink of death.	test
common_voice_mn_18577478.mp3	At least you might get disabled, if the evil comes to you.	test
common_voice_mn_18577479.mp3	The sharp sewing tool for carpets thought itself as a pin.	test
common_voice_mn_18577481.mp3	Why would we throw away a delicious hay?	test
common_voice_mn_18577482.mp3	One will need only paper, pencil and a willingness to learn Mongolian script.	test
common_voice_mn_18592471.mp3	I felt his/her soul he/she said and looked at the endless vast steppe.	test
common_voice_mn_18592473.mp3	I don’t remember a moment as happy as that one evening full of joy.	test
common_voice_mn_18592475.mp3	I had no place to keep so that’s why” “I said that not to talk about it.	test
common_voice_mn_18592476.mp3	The big cheeks of Baatar started to blush after drinking number of chocoholic drinks.	test
common_voice_mn_18620781.mp3	Nothing special happened.	test
common_voice_mn_18620783.mp3	So the alcohol made the sky lighten.	test
common_voice_mn_18620784.mp3	He went away after blowing the nose , correcting the voice, and coughing 2 to 3 times.	test
common_voice_mn_18620785.mp3	The favorite thing to do of the temple is identify witch.	test
common_voice_mn_18591177.mp3	It only covers rent, food, clothes, book, notebook, and school.	test
common_voice_mn_18591178.mp3	If he tells the truth to them, they will never forgive Altansukh.	test
common_voice_mn_18591179.mp3	However, you may not answer only some of his/her calls.	test
common_voice_mn_18591181.mp3	Duke said, I really wanted to sit beside your leg for a long time.	test
common_voice_mn_18587220.mp3	I thought it is a necessary material anyway” then closed my public speaking by “Thank you for the attention.	test
common_voice_mn_18587221.mp3	Bold became a victim of the most cruel game.	test
common_voice_mn_18587222.mp3	This clean faced doll might be made from mud.	test
common_voice_mn_18587224.mp3	During that time, my friend had times when she felt suspicious of her husband.	test
common_voice_mn_18995974.mp3	But it doesn’t mean that your parents can’t come.	test
common_voice_mn_18996113.mp3	It’s easy as a piece of cake.	test
common_voice_mn_18996115.mp3	Who wouldn’t recognize ambulance car.	test
common_voice_mn_18996127.mp3	Why is the child registered on two different families?	test
common_voice_mn_18583706.mp3	Bujinlkham prayer is done for the healthy growth of children and wellness of mothers.	test
common_voice_mn_18583707.mp3	He intentionally came here to hear things from the managers who knows it well.	test
common_voice_mn_18583709.mp3	I did not have any estimation when there is neither a light nor its dark.	test
common_voice_mn_18583710.mp3	Because it is an ocean mammal, it’s too difficult to move on ground.	test
common_voice_mn_18603716.mp3	Therefore, the development is actively ongoing.	test
common_voice_mn_18603717.mp3	They were not able to get their grant from Sweden during the grant award ceremony.	test
common_voice_mn_18603718.mp3	Gombosuren and I can do the job of enrolling soldiers.	test
common_voice_mn_18603720.mp3	The factories that are receiving financial aid from the government are required to use medallion from only Energy Resource or Tavan Tolgoi.	test
common_voice_mn_18577241.mp3	As for herders, passing winter without losing many animals is more important than retirement.	test
common_voice_mn_18577242.mp3	Do you know what decision we made lately?	test
common_voice_mn_18577243.mp3	There is no other option than going to my class even I came late.	test
common_voice_mn_18577244.mp3	There are crucial moments to find the correct answer more than this.	test
common_voice_mn_18578057.mp3	What did I just see then?	test
common_voice_mn_18578058.mp3	Then why can’t you give it a try?	test
common_voice_mn_18578059.mp3	Then our endeavoring conversation has begun.	test
common_voice_mn_18659504.mp3	Nevertheless, we didn’t have a chance to work with them.	test
common_voice_mn_18580568.mp3	We think that the purpose of the churches and religious organizations can be described in a following way.	test
common_voice_mn_18580569.mp3	He/she looks like a well behaved child, who listens well to his parents.	test
common_voice_mn_18580571.mp3	When I got angry, I thought about biting that soldier from his knee, but I didn't do it.	test
common_voice_mn_18580572.mp3	Many warriors will come to our castle from a foreign clan.	test
common_voice_mn_18588830.mp3	From the outside, it seems like pear white yurt house.	test
common_voice_mn_18588831.mp3	The drivers had a conversation about sleeping as soon as they come back in the evening.	test
common_voice_mn_18588832.mp3	I am staying at my single friend’s house for a month.	test
common_voice_mn_18588834.mp3	I have lost my chance when it was given.	test
common_voice_mn_18592672.mp3	It’s not raining in the last few days, so fish can swallow empty hooks.	test
common_voice_mn_18592673.mp3	The data required sources, and the result directly depend on the scale of the data.	test
common_voice_mn_18592674.mp3	That sounds good, he says relieved.	test
common_voice_mn_18592675.mp3	Even the noble people should their interest to enjoy and get entertained less.	test
common_voice_mn_18598200.mp3	After numerous attempts to defend children, we succeeded in finishing this job.	test
common_voice_mn_18598201.mp3	But he didn’t mention anything.	test
common_voice_mn_18598202.mp3	She arrived home at the midnight and started to cry.	test
common_voice_mn_18598204.mp3	Then what else do you know about that lady?	test
common_voice_mn_18584519.mp3	On Wednesday, the chief had a meeting with the soldiers.	test
common_voice_mn_18584520.mp3	There are Mongolian researchers who know more than others.	test
common_voice_mn_18584521.mp3	Baldan’s horses jump away when they pass by the puddle.	test
common_voice_mn_18584522.mp3	This elevator always gets stuck as it is an old Russian elevator.	test
common_voice_mn_18776542.mp3	What could have happened by doing that?	test
common_voice_mn_18776543.mp3	At worst, this will happen.	test
common_voice_mn_18776544.mp3	However it never made a difference.	test
common_voice_mn_18776545.mp3	You need to take a leap forward.	test
common_voice_mn_18578090.mp3	Everybody can see this butterfly in the middle of the summer.	test
common_voice_mn_18578091.mp3	The leading powerhouse of the government of Great Britain is its traditional and Labour party.	test
common_voice_mn_18578092.mp3	When I said finally I took you from them then Khulan got shy and looked down.	test
common_voice_mn_18578094.mp3	It will be a long list If I mention each of them.	test
common_voice_mn_18580987.mp3	Try to commit to it with all your heart.	test
common_voice_mn_18580988.mp3	I want to stress that Napoleon didn’t die from overdose.	test
common_voice_mn_18580989.mp3	We are announcing our researches and you can see every year.	test
common_voice_mn_18580991.mp3	When I was walking in the freezing weather, my cheeks and nose stopped to sense.	test
common_voice_mn_18667622.mp3	Use the method of imagining and drawing a dream.	test
common_voice_mn_18667623.mp3	He invited me with a letter that said ““You have to come”” about ten days ago, now I am still thinking.	test
common_voice_mn_18667624.mp3	These snobby people always try to impress others.	test
common_voice_mn_18667625.mp3	Try to avoid it when its too red, skin is in damaged and shrunk conditions during your purchase of the product.	test
common_voice_mn_18595640.mp3	It is just a joke.	test
common_voice_mn_18595641.mp3	That person was Maria's favorite scientist who did a lot of work in the science world.	test
common_voice_mn_18595644.mp3	We don’t have any other choice than to put a lot of effort to make that profit.	test
common_voice_mn_18595645.mp3	For their heroic act, people created a film called “”Little dipper won’t shoot.	test
common_voice_mn_18584023.mp3	People judge you by your appearance.	test
common_voice_mn_18584024.mp3	At that time, the strong rain has started to fall.	test
common_voice_mn_18584025.mp3	The two wolves of the king ate the brown horse that does not fly.	test
common_voice_mn_18584026.mp3	The great king Bogd approved and gave the order your promotion to become governor.	test
common_voice_mn_18584027.mp3	He is absolutely right.	test
common_voice_mn_18578012.mp3	If Scarlett gets out of the carriage, they will also get out and walk beside us.	test
common_voice_mn_18578013.mp3	Parents are starting to worry about their children spending their time watching a television.	test
common_voice_mn_18578014.mp3	Please stay strong Sainaa.	test
common_voice_mn_18578015.mp3	When sudden money problem occurs, family couple starts arguing, as they can’t solve the issue.	test
common_voice_mn_18578016.mp3	Twins are expressing realistically even craziest ideas.	test
common_voice_mn_18862663.mp3	The relationship with others shows how you treat yourself.	test
common_voice_mn_18862664.mp3	Only they did save us.	test
common_voice_mn_18862665.mp3	Have you understood the meaning?	test
common_voice_mn_18862666.mp3	They are such nice people, said Yeruu sincerely while sobbing.	test
common_voice_mn_18862667.mp3	Now only three pieces of candy left in that dish.	test
common_voice_mn_18577997.mp3	Baljinnyam wanted to get out of this house as soon as possible.	test
common_voice_mn_18577998.mp3	I can’t believe this is true.	test
common_voice_mn_18577999.mp3	If wanted to sell on the internet, how can I collect payments?	test
common_voice_mn_18578000.mp3	When he arrived with his car, Shiiriimaa greeted him feared that he would go back to town.	test
common_voice_mn_18578001.mp3	For this reason we highly prefer to adopt to national standardization.	test
common_voice_mn_18584453.mp3	Richness does not mean wearing many layers of clothes.	test
common_voice_mn_18584454.mp3	People are impatient and discussing quietly about their interest in starting the meeting as soon as possible to finish quickly.	test
common_voice_mn_18584455.mp3	Their eight years old son Chagaa used to play with golden and silver knucklebone.	test
common_voice_mn_18584456.mp3	Kids were standing silently as dead and looked at each other.	test
common_voice_mn_18584457.mp3	Life is sad he thought.	test
common_voice_mn_18578295.mp3	Even your kindness might give some wrong impression.	test
common_voice_mn_18578296.mp3	Cops surrounded Argyll Street, and Queen's family arrived.	test
common_voice_mn_18578297.mp3	How come the problems were this expensive?	test
common_voice_mn_18578298.mp3	You know I will help you if my strength can handle it.	test
common_voice_mn_18578299.mp3	The wolf seems to have gone after all.	test
common_voice_mn_18580942.mp3	That horse eventually bit two car’s front bumper and clashed with police car.	test
common_voice_mn_18580943.mp3	In anthropology, culture involves everything that humans created.	test
common_voice_mn_18580944.mp3	First of all, the agents were lacking the quality to determine a result.	test
common_voice_mn_18580945.mp3	The guard took two of them to the deputy room and stood up next to the door.	test
common_voice_mn_18580946.mp3	You can walk around monkey forest and see the sunset on the top of the temple.	test
common_voice_mn_18593259.mp3	The day after of newly fell snow, the car slipped on the iced road and went into accident.	test
common_voice_mn_18593260.mp3	So it’s better to ride a horse rather than walking on foot.	test
common_voice_mn_18593261.mp3	They say everyone has musical talent.	test
common_voice_mn_18593262.mp3	The kids ran to their class and sat down quietly.	test
common_voice_mn_18593263.mp3	Now the Sonom director is going to give you all some tea.	test
common_voice_mn_18697579.mp3	They kept walking so slow.	test
common_voice_mn_18697580.mp3	I didn’t imagine seeing you here.	test
common_voice_mn_18697581.mp3	I started drinking one or two glasses of beer every Saturday.	test
common_voice_mn_18697582.mp3	Of course it’s not good if the graduate class student misses his class often.	test
common_voice_mn_18697583.mp3	They said come inside then went back to the home.	test
common_voice_mn_18585436.mp3	He loved history very much, especially war history.	test
common_voice_mn_18585437.mp3	Most of the scientists prefer not to separate the fact from the value, they rather mix them.	test
common_voice_mn_18585438.mp3	We understand this very well.	test
common_voice_mn_18585439.mp3	I agreed and told them, let's do it.	test
common_voice_mn_18585440.mp3	The teacher closed her eyes half and swung her body gently by the music.	test
common_voice_mn_18577305.mp3	One of the important viewpoints is to live in the present.	test
common_voice_mn_18577306.mp3	Of course I had a bad time, but I will get by until the end.	test
common_voice_mn_18577307.mp3	The one who is full of patience achieves the success.	test
common_voice_mn_18577308.mp3	How are you feeling?	test
common_voice_mn_18577309.mp3	They take care of it just like their own belongings.	test
common_voice_mn_18578869.mp3	He was working with me in this industry.	test
common_voice_mn_18578870.mp3	The amount of common spending and the unit product doesn’t have to be similar, making it simpler.	test
common_voice_mn_18578871.mp3	There is no need of keeping sorrow and regret about something that has already passed.	test
common_voice_mn_18578872.mp3	Players, who possess those qualities, are born to become the champions.	test
common_voice_mn_18578873.mp3	More than twenty people are missing.	test
common_voice_mn_18580928.mp3	If he says there is treasure, then it means there is.	test
common_voice_mn_18580929.mp3	after saying that and placed hand on her forehead, it was hot.	test
common_voice_mn_18580930.mp3	For Napoleon, who was going to head to the battlefield, each moment was priceless.	test
common_voice_mn_18580931.mp3	Mr. Koliber always praised you when he talks about you.	test
common_voice_mn_18580932.mp3	What were you doing there?	test
common_voice_mn_18857344.mp3	They got criticized for us being behind many countries with the transporting field.	test
common_voice_mn_18857345.mp3	However, it was so easy.	test
common_voice_mn_18857346.mp3	I missed her suddenly and cried when you told me your age.	test
common_voice_mn_18857347.mp3	Anyway, make move after careful checking. There is nothing to lose being cautious.	test
common_voice_mn_18857348.mp3	But I am not sure about what will my children go through.	test
common_voice_mn_18571410.mp3	To be honest, I have no registration in this city.	test
common_voice_mn_18571411.mp3	He was a good detective and the best boss.	test
common_voice_mn_18571412.mp3	Parents and students will study from online education portal.	test
common_voice_mn_18571413.mp3	You can give presents like nice socks to your lovers in the New Year.	test
common_voice_mn_18571414.mp3	Don’t get your nice clothes stained in the car bump.	test
common_voice_mn_18577285.mp3	Luckily, you were the only one who was melting the snow.	test
common_voice_mn_18577286.mp3	This yellow human shows the god and the highest intellectual spirit.	test
common_voice_mn_18577287.mp3	Under these condition, it was clear the there is a necessity to clean the infections in administrative and government organizations.	test
common_voice_mn_18577288.mp3	Suddenly Sender little girl plays her instrument.	test
common_voice_mn_18577289.mp3	God was angry, then he deported brown old man with his twin dragon.	test
common_voice_mn_18960655.mp3	I have a time to explain about what is exactly happening until we reach Li.	test
common_voice_mn_18960656.mp3	Because of this man, the opposition party boasted.	test
common_voice_mn_18960657.mp3	And since he is friendly and helpful, locals praise him.	test
common_voice_mn_18960658.mp3	Religion is a drug for people.	test
common_voice_mn_18960659.mp3	Proponents of this theory, therefore, focus on competition, market openness and privatization.	test
common_voice_mn_18582394.mp3	The Arvan Hangal prayer is done to protect all the animals from the danger and worries.	test
common_voice_mn_18582395.mp3	Mongolians used to be cruel, courageous, and patient.	test
common_voice_mn_18582396.mp3	In rails, trains were crossed very near.	test
common_voice_mn_18582397.mp3	This was one of the best plain of America.	test
common_voice_mn_18582398.mp3	When I will visit her after a long time, she will say that she has missed me.	test
common_voice_mn_18577399.mp3	We will prepare our list of projects on Sunday evening.	test
common_voice_mn_18577400.mp3	I have never seen human face having such strange spot.	test
common_voice_mn_18577401.mp3	We do not have any difficulty for finding water.	test
common_voice_mn_18577402.mp3	The horse looks very fancy when it shakes its head by the horse parking.	test
common_voice_mn_18577403.mp3	I always bend down my head whenever I enter through their doorjamb.	test
common_voice_mn_18587961.mp3	To tell the truth ,I truly believe that you can make it.	test
common_voice_mn_18587962.mp3	When Shagdar starts to read about certain topic on the newspaper, he was lost in the thought about Nansal again.	test
common_voice_mn_18587963.mp3	Labrie said that I thought you are still working.	test
common_voice_mn_18587964.mp3	That night, while staying awake, he realized that there is no need of impeding him/her.	test
common_voice_mn_18587965.mp3	In the last century, we defeated all of them at a lake in the forest.	test
common_voice_mn_18580951.mp3	You are my assistant.	test
common_voice_mn_18580953.mp3	He prepared the night drink and pillow for the head monk Hamba.	test
common_voice_mn_18580954.mp3	Traditional vodka “ “Shiguderi” “ is not for getting drunk but should be presented on the table for the celebration.	test
common_voice_mn_18580955.mp3	Then I have assembled all the money I had and managed to raise a sum for transport fee.	test
common_voice_mn_18580956.mp3	However, don't tell anyone.	test
common_voice_mn_18583681.mp3	But I had an impression that wouldn’t mind.	test
common_voice_mn_18583682.mp3	I didn’t think you’d come today, he said as wiping his sweat.	test
common_voice_mn_18583683.mp3	My brother became a demon...No, I'm not dreaming”” he thinks.	test
common_voice_mn_18583684.mp3	Maybe he came here because of this reason.	test
common_voice_mn_18583685.mp3	There is a ””Liverpool””’s coffee mug, t shirt, notebook and keyring.	test
common_voice_mn_18959318.mp3	So both of them moved together to prepare for the winter.	test
common_voice_mn_18959320.mp3	When the white butterflies are flying, you can fight them by turning on lights and collecting them in bags.	test
common_voice_mn_18959323.mp3	This tradition became “fashion” among the aristocrats and became an integral part of British culture at that time.	test
common_voice_mn_18959324.mp3	Last night I was alone and almost fainted.	test
common_voice_mn_18959325.mp3	If I was an ex security service agent.	test
common_voice_mn_18658334.mp3	When a clothing item's price stays swinging, it creates a profitable opportunity for investors	test
common_voice_mn_18658335.mp3	Old man, even I don’t have knowledge how to use medicine!..	test
common_voice_mn_18658336.mp3	No matter for whom you did it, the reason is you feel the need to do it.	test
common_voice_mn_18658337.mp3	In the ninth round, there will be exciting battles for medals and for not falling down.	test
common_voice_mn_18658338.mp3	This evening he could not even remember what his wife always says.	test
common_voice_mn_18583958.mp3	they did a lot of things for me.	test
common_voice_mn_18583959.mp3	It later affects the credibility of studies outcome.	test
common_voice_mn_18583960.mp3	It will show how to write the base of the word right using a Cyrillic script grammar.	test
common_voice_mn_18583961.mp3	There is no way to visit the town without going out.	test
common_voice_mn_18583962.mp3	Our life is difficult for now, and might be continue as difficult”” he said secretly.	test
common_voice_mn_18634981.mp3	All this evidence gets revealed, and you will be like met a dead end.	test
common_voice_mn_18634982.mp3	How do you do, Andrew brother?	test
common_voice_mn_18634983.mp3	Bayaraa was not there when he came out with his wife to tell the police, he says.	test
common_voice_mn_18634984.mp3	It appears that the girl isn’t used to her classmates.	test
common_voice_mn_18634985.mp3	How wonderful my breasts are.	test
common_voice_mn_18584028.mp3	A boy ran out with the girl to greet.	test
common_voice_mn_18584029.mp3	Mustrangrimists don’t remember an incident like this.	test
common_voice_mn_18584030.mp3	Do not ask for the statement again as you have asked last summer.	test
common_voice_mn_18584031.mp3	They thought only officials could participate in this.	test
common_voice_mn_18584032.mp3	Moved crowd’s seat near to finish line and fixed broken seats.	test
common_voice_mn_18959331.mp3	Teacher’s talisman must have protected me since I haven’t faced anything suspicious.	test
common_voice_mn_18959332.mp3	Only recently, micro libraries are being built in some districts.	test
common_voice_mn_18959333.mp3	It looks like we’re being called, he said.	test
common_voice_mn_18959334.mp3	Information about a girl, Oksana Malaya, who comes from Ukraine and grew up with a dog, is available on the internet.	test
common_voice_mn_18959335.mp3	Most of our Mongolian women have sensitive and dry skin.	test
common_voice_mn_18577343.mp3	Never seen Saran as this quiet and dull.	test
common_voice_mn_18577344.mp3	Spatial house system is the main necessity of astrology.	test
common_voice_mn_18577345.mp3	And the lady was confident that she looks good.	test
common_voice_mn_18577346.mp3	Soviet army with many soldiers and lots of technical tools were in Mongolia.	test
